t_mono_s,v_bus,i,p
# start 2026-09-25T19:46:02 mono=606.1 interval=10.0 threshold=9.6 count=3
606.5,12.425,0.010,0.13
616.5,12.432,0.041,0.51
626.5,12.432,0.042,0.52
636.5,12.428,0.026,0.32
646.5,12.432,0.038,0.48
656.5,12.429,0.030,0.37
666.5,12.431,0.037,0.46
676.5,12.431,0.038,0.47
686.5,12.432,0.039,0.49
696.5,12.430,0.035,0.43
706.5,12.329,-0.363,-4.47
716.5,12.321,-0.365,-4.49
726.5,12.315,-0.358,-4.41
736.5,12.310,-0.365,-4.49
746.5,12.310,-0.347,-4.27
756.5,12.305,-0.348,-4.28
766.5,12.303,-0.346,-4.25
776.5,12.291,-0.378,-4.65
786.5,12.296,-0.347,-4.27
796.5,12.289,-0.365,-4.49
806.5,12.291,-0.350,-4.30
816.5,12.288,-0.345,-4.24
826.5,12.285,-0.352,-4.32
836.5,12.279,-0.366,-4.49
846.5,12.281,-0.348,-4.27
856.5,12.275,-0.368,-4.51
866.5,12.273,-0.368,-4.52
876.5,12.276,-0.349,-4.28
886.5,12.273,-0.348,-4.27
896.5,12.268,-0.365,-4.48
906.5,12.270,-0.348,-4.27
916.5,12.269,-0.346,-4.25
926.5,12.267,-0.347,-4.25
936.5,12.265,-0.348,-4.27
946.5,12.264,-0.347,-4.25
956.5,12.257,-0.369,-4.53
966.5,12.260,-0.353,-4.32
976.5,12.255,-0.369,-4.52
986.5,12.252,-0.366,-4.48
996.5,12.256,-0.348,-4.27
1006.5,12.254,-0.349,-4.27
1016.5,12.249,-0.365,-4.48
1026.5,12.247,-0.368,-4.51
1036.5,12.246,-0.367,-4.50
1046.5,12.248,-0.351,-4.29
1056.5,12.242,-0.368,-4.51
1066.5,12.245,-0.358,-4.38
1076.5,12.240,-0.368,-4.50
1086.5,12.243,-0.349,-4.28
1096.5,12.242,-0.347,-4.25
1106.5,12.242,-0.348,-4.26
1116.5,12.237,-0.366,-4.48
1126.5,12.239,-0.351,-4.29
1136.5,12.239,-0.347,-4.24
1146.5,12.237,-0.346,-4.23
1156.5,12.236,-0.349,-4.27
1166.5,12.237,-0.348,-4.26
1176.5,12.230,-0.368,-4.50
1186.5,12.233,-0.351,-4.29
1196.5,12.228,-0.369,-4.52
1206.5,12.228,-0.367,-4.49
1216.5,12.230,-0.350,-4.28
1226.5,12.225,-0.366,-4.47
1236.5,12.229,-0.345,-4.22
1246.5,12.229,-0.349,-4.27
1256.5,12.223,-0.367,-4.48
1266.5,12.225,-0.353,-4.31
1276.5,12.221,-0.369,-4.51
1286.5,12.224,-0.346,-4.23
1296.5,12.222,-0.349,-4.26
1306.5,12.222,-0.349,-4.27
1316.5,12.218,-0.369,-4.51
1326.5,12.217,-0.363,-4.44
1336.5,12.215,-0.368,-4.49
1346.5,12.215,-0.363,-4.44
1356.5,12.218,-0.350,-4.27
1366.5,12.212,-0.368,-4.49
1376.5,12.211,-0.370,-4.51
1386.5,12.215,-0.347,-4.23
1396.5,12.214,-0.346,-4.23
1406.5,12.210,-0.366,-4.47
1416.5,12.214,-0.347,-4.23
1426.5,12.212,-0.352,-4.30
1436.5,12.208,-0.366,-4.47
1446.5,12.210,-0.351,-4.28
1456.5,12.205,-0.369,-4.51
1466.5,12.210,-0.352,-4.30
1476.5,12.209,-0.347,-4.23
1486.5,12.208,-0.349,-4.26
1496.5,12.203,-0.369,-4.50
1506.5,12.208,-0.349,-4.26
1516.5,12.206,-0.350,-4.27
1526.5,12.202,-0.370,-4.51
1536.5,12.205,-0.349,-4.25
1546.5,12.205,-0.346,-4.22
1556.5,12.199,-0.369,-4.51
1566.5,12.203,-0.347,-4.23
1576.5,12.203,-0.350,-4.28
1586.5,12.202,-0.347,-4.23
1596.5,12.201,-0.348,-4.24
1606.5,12.196,-0.371,-4.52
1616.5,12.196,-0.368,-4.49
1626.5,12.198,-0.354,-4.31
1636.5,12.199,-0.347,-4.23
1646.5,12.194,-0.369,-4.49
1656.5,12.198,-0.349,-4.26
1666.5,12.193,-0.367,-4.47
1676.5,12.192,-0.370,-4.51
1686.5,12.191,-0.369,-4.50
1696.5,12.195,-0.349,-4.25
1706.5,12.193,-0.348,-4.25
1716.5,12.195,-0.346,-4.22
1726.5,12.193,-0.349,-4.25
1736.5,12.187,-0.370,-4.51
1746.5,12.188,-0.367,-4.48
